adapter,detected,detection_source,distance_error_m,est_forward_z,est_lateral_x,est_orientation,est_yaw_deg,gate_height_m,gate_width_m,gt_forward_z,gt_gate_yaw_canonical_deg,gt_gate_yaw_deg,gt_lateral_x,gt_orientation,lateral_error_m,mode,orientation_hint,orientation_ok,pose_present,step,track_yaw_deg,yaw_error_deg,yaw_sign_ok
holoocean,True,projective,1.563,2.327,-0.004,frontal,-0.79,2.0,2.0,3.89,0.0,0.0,0.0,frontal,0.004,stationary,frontal,True,False,0,0,0.79,
holoocean,False,,,,,,,2.0,2.0,3.89,0.0,0.0,0.0,frontal,,stationary,,,,1,0,,
holoocean,False,,,,,,,2.0,2.0,3.89,0.0,0.0,0.0,frontal,,stationary,,,,2,0,,
holoocean,False,,,,,,,2.0,2.0,3.89,0.0,0.0,0.0,frontal,,stationary,,,,3,0,,
holoocean,False,,,,,,,2.0,2.0,3.89,0.0,0.0,0.0,frontal,,stationary,,,,4,0,,
holoocean,False,,,,,,,2.0,2.0,3.89,0.0,0.0,0.0,frontal,,stationary,,,,5,0,,
holoocean,False,,,,,,,2.0,2.0,3.515,-25.0,-25.0,1.69,rotated_right,,stationary,,,,0,25,,
holoocean,False,,,,,,,2.0,2.0,3.515,-25.0,-25.0,1.69,rotated_right,,stationary,,,,1,25,,
holoocean,False,,,,,,,2.0,2.0,3.515,-25.0,-25.0,1.69,rotated_right,,stationary,,,,2,25,,
holoocean,False,,,,,,,2.0,2.0,3.515,-25.0,-25.0,1.69,rotated_right,,stationary,,,,3,25,,
holoocean,False,,,,,,,2.0,2.0,3.515,-25.0,-25.0,1.69,rotated_right,,stationary,,,,4,25,,
holoocean,False,,,,,,,2.0,2.0,3.515,-25.0,-25.0,1.69,rotated_right,,stationary,,,,5,25,,
holoocean,False,,,,,,,2.0,2.0,2.718,-45.0,-45.0,2.828,rotated_right,,stationary,,,,0,45,,
holoocean,False,,,,,,,2.0,2.0,2.718,-45.0,-45.0,2.828,rotated_right,,stationary,,,,1,45,,
holoocean,True,pnp,1.717,4.435,3.463,rotated_left,87.4,2.0,2.0,2.718,-45.0,-45.0,2.828,rotated_right,0.634,stationary,rotated_left,False,True,2,45,47.6,False
holoocean,True,pnp,1.717,4.435,3.463,rotated_left,87.4,2.0,2.0,2.718,-45.0,-45.0,2.828,rotated_right,0.634,stationary,rotated_left,False,True,3,45,47.6,False
holoocean,True,pnp,1.717,4.435,3.463,rotated_left,87.4,2.0,2.0,2.718,-45.0,-45.0,2.828,rotated_right,0.634,stationary,rotated_left,False,True,4,45,47.6,False
holoocean,False,,,,,,,2.0,2.0,2.718,-45.0,-45.0,2.828,rotated_right,,stationary,,,,5,45,,
holoocean,False,,,,,,,2.0,2.0,3.515,25.0,25.0,-1.69,rotated_left,,stationary,,,,0,-25,,
holoocean,False,,,,,,,2.0,2.0,3.515,25.0,25.0,-1.69,rotated_left,,stationary,,,,1,-25,,
holoocean,False,,,,,,,2.0,2.0,3.515,25.0,25.0,-1.69,rotated_left,,stationary,,,,2,-25,,
holoocean,False,,,,,,,2.0,2.0,3.515,25.0,25.0,-1.69,rotated_left,,stationary,,,,3,-25,,
holoocean,False,,,,,,,2.0,2.0,3.515,25.0,25.0,-1.69,rotated_left,,stationary,,,,4,-25,,
holoocean,False,,,,,,,2.0,2.0,3.515,25.0,25.0,-1.69,rotated_left,,stationary,,,,5,-25,,
holoocean,True,projective,0.571,2.148,-0.003,frontal,-2.52,2.0,2.0,2.718,45.0,45.0,-2.828,rotated_left,2.825,stationary,frontal,False,False,0,-45,47.52,False
holoocean,True,projective,0.571,2.148,0.228,frontal,2.12,2.0,2.0,2.718,45.0,45.0,-2.828,rotated_left,3.057,stationary,frontal,False,False,1,-45,42.88,True
holoocean,True,projective,0.571,2.148,0.218,frontal,2.38,2.0,2.0,2.718,45.0,45.0,-2.828,rotated_left,3.047,stationary,frontal,False,False,2,-45,42.62,True
holoocean,False,,,,,,,2.0,2.0,2.718,45.0,45.0,-2.828,rotated_left,,stationary,,,,3,-45,,
holoocean,False,,,,,,,2.0,2.0,2.718,45.0,45.0,-2.828,rotated_left,,stationary,,,,4,-45,,
holoocean,True,projective,0.571,2.148,-0.003,frontal,-2.52,2.0,2.0,2.718,45.0,45.0,-2.828,rotated_left,2.825,stationary,frontal,False,False,5,-45,47.52,False
holoocean,True,projective,1.563,2.327,-0.004,frontal,-0.79,2.0,2.0,3.89,0.0,0.0,0.0,frontal,0.004,moving,frontal,True,False,0,0,0.79,
holoocean,False,,,,,,,2.0,2.0,3.883,0.0,0.0,0.0,frontal,,moving,,,,1,0,,
holoocean,False,,,,,,,2.0,2.0,3.865,0.0,0.0,0.0,frontal,,moving,,,,2,0,,
holoocean,False,,,,,,,2.0,2.0,3.838,0.0,0.0,0.0,frontal,,moving,,,,3,0,,
holoocean,False,,,,,,,2.0,2.0,3.803,0.0,0.0,0.0,frontal,,moving,,,,4,0,,
holoocean,False,,,,,,,2.0,2.0,3.76,0.0,0.0,0.0,frontal,,moving,,,,5,0,,
holoocean,False,,,,,,,2.0,2.0,3.515,-25.0,-25.0,1.69,rotated_right,,moving,,,,0,25,,
holoocean,False,,,,,,,2.0,2.0,3.508,-25.0,-25.0,1.69,rotated_right,,moving,,,,1,25,,
holoocean,False,,,,,,,2.0,2.0,3.49,-25.0,-25.0,1.69,rotated_right,,moving,,,,2,25,,
holoocean,False,,,,,,,2.0,2.0,3.463,-25.0,-25.0,1.69,rotated_right,,moving,,,,3,25,,
holoocean,False,,,,,,,2.0,2.0,3.428,-25.0,-25.0,1.69,rotated_right,,moving,,,,4,25,,
holoocean,False,,,,,,,2.0,2.0,3.385,-25.0,-25.0,1.69,rotated_right,,moving,,,,5,25,,
holoocean,False,,,,,,,2.0,2.0,2.718,-45.0,-45.0,2.828,rotated_right,,moving,,,,0,45,,
holoocean,False,,,,,,,2.0,2.0,2.711,-45.0,-45.0,2.828,rotated_right,,moving,,,,1,45,,
holoocean,True,pnp,1.732,4.425,3.462,rotated_left,86.84,2.0,2.0,2.693,-45.0,-45.0,2.828,rotated_right,0.634,moving,rotated_left,False,True,2,45,48.16,False
holoocean,True,pnp,1.76,4.426,3.468,rotated_left,86.62,2.0,2.0,2.666,-45.0,-45.0,2.828,rotated_right,0.639,moving,rotated_left,False,True,3,45,48.38,False
