controller,seed,finished,completed_gates,expected_gates,official_time_s,penalized_time_s,collision_events,out_of_bounds_events,wrong_direction_crossings,previous_gate_returns,mean_abs_sway_action,mean_abs_yaw_action,mean_action_jerk,action_oscillation_rate,inference_time_ms,wall_s,deterministic_runtime_intervention_count
rule_gate_center_then_commit,21200,True,2,2,8.5,8.5,0,0,0,,0.000699342112056911,1.1565197817064483e-18,0.007872131653130054,0.0,20.0182,37.855,
rule_gate_center_then_commit,21201,True,2,2,8.5,8.5,0,0,0,,0.000699342112056911,1.1565197817064483e-18,0.007872131653130054,0.0,20.3117,37.334,
rule_gate_center_then_commit,21202,True,2,2,8.5,8.5,0,0,0,,0.000699342112056911,1.1565197817064483e-18,0.007872131653130054,0.0,20.1886,36.549,
rule_gate_center_then_commit,21203,True,2,2,8.5,8.5,0,0,0,,0.000670255278237164,1.533071008104369e-18,0.007868122309446335,0.0,19.9562,36.991,
rule_gate_center_then_commit,21204,True,2,2,8.5,8.5,0,0,0,,0.000670255278237164,1.533071008104369e-18,0.007868122309446335,0.0,20.0536,37.035,
hybrid_gate_controller,21200,True,2,2,8.5,8.5,0,0,0,,0.006790297105908394,0.0007975269691087306,0.009550992399454117,0.0,60.4898,42.739,
hybrid_gate_controller,21201,True,2,2,8.4,8.4,0,0,0,,0.003059830516576767,0.000709912390448153,0.009084639139473438,0.0,61.346,40.044,
hybrid_gate_controller,21202,True,2,2,8.600000000000001,8.600000000000001,0,0,0,,0.006837891880422831,0.0007903105579316616,0.010422497056424618,0.0,61.1778,39.912,
hybrid_gate_controller,21203,True,2,2,8.5,8.5,0,0,0,,0.005996359046548605,0.0003601131320465356,0.008728979155421257,0.0,59.4567,39.142,
hybrid_gate_controller,21204,True,2,2,8.399999999999999,8.399999999999999,0,0,0,,0.006820941809564829,0.0004134459886699915,0.00952184572815895,0.0,60.275,39.809,
rl_multigate_controller,21200,True,2,2,10.5,10.5,0,0,0,0,0.03972906246781349,0.017115477472543716,0.035225510597229004,0.0,42.9156,41.828,0
rl_multigate_controller,21201,True,2,2,11.000000000000002,11.000000000000002,0,0,0,0,0.04222666099667549,0.01854085735976696,0.03941379114985466,0.0,42.0897,43.202,0
rl_multigate_controller,21202,False,1,2,,,0,0,0,0,0.05547792837023735,0.012473076581954956,0.03966309130191803,0.0,42.9778,193.189,0
rl_multigate_controller,21203,True,2,2,11.2,11.2,0,0,0,0,0.037855006754398346,0.01713235303759575,0.04333788529038429,0.0,42.4233,42.402,0
rl_multigate_controller,21204,True,2,2,12.3,12.3,0,0,0,0,0.032650869339704514,0.01792238838970661,0.04006683826446533,0.0,41.6321,44.539,0
