num_timesteps,n_updates,approx_kl,target_kl,kl_ratio,max_acceptable_kl,clip_fraction,policy_gradient_loss,value_loss,entropy_loss,explained_variance,policy_std,action_saturation,target_kl_early_stop
500,1,0.0019031858537346125,0.01,0.19031858537346125,0.02,0.3259999960660934,0.006880192987620148,4.561102676391601,3.5345746994018556,-0.06695187091827393,0.10000070929527283,0.0,False
1000,2,0.002766718389466405,0.01,0.2766718389466405,0.02,0.3819999933242798,0.007990596514660808,134.8365036010742,3.534559488296509,-0.01354360580444336,0.10000070929527283,0.0,False
1500,3,0.0007652936037629843,0.01,0.07652936037629843,0.02,0.17399999648332595,-0.0017425192501395515,5.0331103801727295,3.5345668315887453,-0.05609297752380371,0.10000003129243851,0.0,False
2000,4,0.00036844253190793097,0.01,0.0368442531907931,0.02,0.08999999947845935,0.0007752879535544821,37.04550666809082,3.5345937728881838,-0.01680278778076172,0.09999945759773254,0.0,False
2500,5,0.0003443462774157524,0.01,0.03443462774157524,0.02,0.08800000138580799,0.0020699992403386603,18.34538516998291,3.534618854522705,-0.029600143432617188,0.09999880194664001,0.0,False
3000,6,0.0006760671967640519,0.01,0.06760671967640519,0.02,0.14400000274181365,0.001844870307017743,4.286012649536133,3.5346270561218263,-0.036992669105529785,0.0999990701675415,0.0,False
3500,7,6.930375093361363e-05,0.01,0.006930375093361363,0.02,0.0,0.00036434757523124973,4.85400800704956,3.5346283435821535,-0.010020971298217773,0.0999990701675415,0.0,False
4000,8,0.00023469197913073003,0.01,0.023469197913073003,0.02,0.04599999934434891,-0.000267675391689437,104.4555877685547,3.5346133708953857,-0.007009387016296387,0.09999966621398926,0.0,False
4500,9,0.00034315037191845477,0.01,0.03431503719184548,0.02,0.07800000235438347,0.0011636252235632583,85.34218521118164,3.5345917701721192,-0.0068018436431884766,0.10000008344650269,0.0,False
5000,10,0.0004245997406542301,0.01,0.04245997406542301,0.02,0.10399999767541886,0.0020642545972947347,14.724365234375,3.5345887660980226,-0.019835591316223145,0.09999985992908478,0.0,False
