num_timesteps,n_updates,approx_kl,target_kl,kl_ratio,max_acceptable_kl,clip_fraction,policy_gradient_loss,value_loss,entropy_loss,explained_variance,policy_std,action_saturation,target_kl_early_stop
500,1,0.00018478036508895457,0.01,0.018478036508895457,0.02,0.01600000001490116,-0.00014863515109766467,4.504969644546509,3.534569787979126,0.007741391658782959,0.10000137984752655,0.0,False
1000,2,6.431985093513504e-05,0.01,0.006431985093513504,0.02,0.0,-0.0005805448392635526,4.502214097976685,3.534535360336304,-0.03877449035644531,0.10000086575746536,0.0,False
1500,3,3.4773587685776874e-05,0.01,0.0034773587685776874,0.02,0.0,-0.000390562543761952,4.311706304550171,3.534562873840332,-0.010472774505615234,0.10000021755695343,0.0,False
2000,4,0.00010524166282266378,0.01,0.010524166282266378,0.02,0.005999999865889549,-0.0003036800542616902,3.7022581100463867,3.534576940536499,0.01168513298034668,0.10000020265579224,0.0,False
2500,5,4.6419499994954094e-05,0.01,0.004641949999495409,0.02,0.0,-0.0006825303807858063,4.676463556289673,3.534581518173218,-0.037647247314453125,0.09999989718198776,0.0,False
3000,6,4.410743713378906e-05,0.01,0.004410743713378906,0.02,0.0,3.4586904219224836e-05,3.9560014247894286,3.53459095954895,-0.09236836433410645,0.09999975562095642,0.0,False
3500,7,3.8154958019731566e-05,0.01,0.0038154958019731566,0.02,0.0,-0.0003364493786357059,4.694826602935791,3.5346038818359373,-0.034001946449279785,0.09999950975179672,0.0,False
4000,8,7.553875184385106e-05,0.01,0.007553875184385106,0.02,0.0019999999552965165,-0.0001105902211275378,3.09568247795105,3.5346019744873045,0.033422112464904785,0.0999998152256012,0.0,False
4500,9,3.581142664188519e-05,0.01,0.003581142664188519,0.02,0.0,-2.2598977782806175e-05,3.2924074649810793,3.5345890045166017,-0.02432870864868164,0.10000009834766388,0.0,False
5000,10,2.374231735302601e-05,0.01,0.002374231735302601,0.02,0.0,-0.00019018459646034103,4.621049642562866,3.53458251953125,-0.03388810157775879,0.10000025480985641,0.0,False
