num_timesteps,n_updates,approx_kl,target_kl,kl_ratio,max_acceptable_kl,clip_fraction,policy_gradient_loss,value_loss,entropy_loss,explained_variance,policy_std,action_saturation,target_kl_early_stop
500,1,5.477666604747355e-07,0.01,5.4776666047473554e-05,0.02,0.0,4.1386366196149996e-05,10.23471565246582,-5.675760746002197,0.008598685264587402,1.0000064373016357,0.0,False
1000,2,2.932548568423954e-07,0.01,2.932548568423954e-05,0.02,0.0,-3.534996631771037e-05,8.890644359588624,-5.675761032104492,-0.07029879093170166,0.9999932646751404,0.0,False
1500,3,2.6857850343731116e-07,0.01,2.6857850343731116e-05,0.02,0.0,-6.255126080958461e-05,21.66275825500488,-5.675701141357422,0.01171565055847168,0.9999777674674988,0.0,False
2000,4,3.372430796844128e-07,0.01,3.372430796844128e-05,0.02,0.0,-3.809833724517375e-05,10.758331489562988,-5.675653648376465,-0.009186744689941406,0.9999716877937317,0.0,False
2500,5,3.4165381634920777e-07,0.01,3.416538163492078e-05,0.02,0.0,-5.368232721281174e-05,12.820343971252441,-5.675631141662597,0.015976369380950928,0.9999632835388184,0.0,False
3000,6,1.4483929078323854e-07,0.01,1.4483929078323854e-05,0.02,0.0,-3.367066626935866e-06,8.933355140686036,-5.675596046447754,0.009609818458557129,0.9999552369117737,0.0,False
3500,7,6.175041278311255e-08,0.01,6.175041278311255e-06,0.02,0.0,-6.245731994525272e-06,8.179712581634522,-5.675559234619141,0.010122537612915039,0.9999481439590454,0.0,False
4000,8,9.810925405417947e-08,0.01,9.810925405417947e-06,0.02,0.0,-1.7368316966859254e-05,12.387898635864257,-5.675543022155762,0.024060428142547607,0.9999469518661499,0.0,False
4500,9,1.280307770912259e-07,0.01,1.280307770912259e-05,0.02,0.0,1.3390900116405647e-05,6.829196453094482,-5.675544166564942,-0.01208031177520752,0.9999484419822693,0.0,False
5000,10,3.4689900729745204e-08,0.01,3.4689900729745204e-06,0.02,0.0,-9.062766970657776e-06,31.862450790405273,-5.675543022155762,-0.01187431812286377,0.9999457597732544,0.343,False
