adapter,detected,detection_source,distance_error_m,est_forward_z,est_lateral_x,est_yaw_deg,gt_distance,gt_forward_z,gt_gate_yaw_deg,gt_lateral_x,lateral_error_m,orientation_hint,pose_present,step,track_yaw_deg,yaw_error_deg,yaw_sign_ok
holoocean,True,projective,2.145,1.745,-0.003,-0.79,3.891,3.89,0.0,0.0,0.003,frontal,False,0,0,0.79,True
holoocean,False,,,,,,3.859,3.859,0.0,0.0,,,,1,0,,
holoocean,False,,,,,,3.781,3.781,0.0,0.0,,,,2,0,,
holoocean,False,,,,,,3.667,3.666,0.0,0.0,,,,3,0,,
holoocean,False,,,,,,3.901,3.515,-25.0,1.69,,,,0,25,,
holoocean,False,,,,,,3.873,3.484,-25.0,1.69,,,,1,25,,
holoocean,False,,,,,,3.803,3.406,-25.0,1.69,,,,2,25,,
holoocean,False,,,,,,3.701,3.291,-25.0,1.69,,,,3,25,,
holoocean,False,,,,,,3.924,2.718,-45.0,2.828,,,,0,45,,
holoocean,True,pnp,0.632,3.319,2.597,93.16,3.902,2.687,-45.0,2.828,0.232,rotated_left,True,1,45,138.16,False
holoocean,True,pnp,0.675,3.285,2.594,95.42,3.849,2.609,-45.0,2.828,0.234,rotated_left,True,2,45,140.42,False
holoocean,False,,,,,,3.772,2.495,-45.0,2.828,,,,3,45,,
holoocean,False,,,,,,3.901,3.515,25.0,-1.69,,,,0,-25,,
holoocean,False,,,,,,3.873,3.484,25.0,-1.69,,,,1,-25,,
holoocean,False,,,,,,3.803,3.406,25.0,-1.69,,,,2,-25,,
holoocean,False,,,,,,3.701,3.291,25.0,-1.69,,,,3,-25,,
holoocean,True,projective,1.108,1.611,-0.003,-2.52,3.924,2.718,45.0,-2.828,2.826,frontal,False,0,-45,47.52,False
holoocean,True,projective,1.076,1.611,0.164,2.38,3.902,2.687,45.0,-2.828,2.992,frontal,False,1,-45,42.62,True
holoocean,False,,,,,,3.849,2.609,45.0,-2.828,,,,2,-45,,
holoocean,False,,,,,,3.772,2.495,45.0,-2.828,,,,3,-45,,
